Reporting starts,Reporting ends,Ad name,Ad delivery,Attribution setting,Results,Result indicator,Reach,Frequency,Cost per results,Ad set budget,Ad set budget type,Amount spent (USD),Ends,Quality ranking,Engagement rate ranking,Conversion rate ranking,Impressions,"CPM (cost per 1,000 impressions) (USD)",Link clicks,shop_clicks,CPC (cost per link click) (USD),CTR (link click-through rate),Clicks (all),CTR (all),CPC (all) (USD),Landing page views,Cost per landing page view (USD)
2025-08-13,2026-02-16,New Leads Ad,archived,"7-day click, 1-day view, or 1-day engaged-view",,,1,1.0,,62,Daily,0.01,Ongoing,-,-,-,1,10.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,409,1.207824,,62,Daily,36.34,Ongoing,-,-,-,494,73.562753,17.0,,2.137647,3.441296,24,4.8583,1.514167,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,6,1.333333,,62,Daily,0.28,Ongoing,-,-,-,8,35.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,38,1.078947,,62,Daily,1.59,Ongoing,-,-,-,41,38.780488,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,167,1.071856,,62,Daily,1.69,Ongoing,-,-,-,179,9.441341,9.0,,0.187778,5.027933,8,4.469274,0.21125,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,14,1.428571,,31,Daily,1.3,Ongoing,-,-,-,20,65.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,72,1.069444,,62,Daily,0.18,Ongoing,-,-,-,77,2.337662,2.0,,0.09,2.597403,2,2.597403,0.09,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,8,1.125,,31,Daily,0.29,Ongoing,-,-,-,9,32.222222,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,75,1.08,,62,Daily,2.65,Ongoing,-,-,-,81,32.716049,4.0,,0.6625,4.938272,5,6.17284,0.53,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,44,1.068182,,62,Daily,0.38,Ongoing,-,-,-,47,8.085106,1.0,,0.38,2.12766,3,6.382979,0.126667,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,10,1.1,,80,Daily,13.96,Ongoing,-,-,-,11,1269.090909,1.0,,13.96,9.090909,1,9.090909,13.96,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,8,1.0,,80,Daily,0.52,Ongoing,-,-,-,8,65.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,15,1.0,,80,Daily,0.23,Ongoing,-,-,-,15,15.333333,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,7,1.428571,,31,Daily,1.96,Ongoing,-,-,-,10,196.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,40,1.4,,31,Daily,3.27,Ongoing,-,-,-,56,58.392857,1.0,,3.27,1.785714,2,3.571429,1.635,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.2,,31,Daily,0.38,Ongoing,-,-,-,6,63.333333,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,2,1.0,,31,Daily,0.03,Ongoing,-,-,-,2,15.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy,archived,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.0,,62,Daily,0.02,Ongoing,-,-,-,4,5.0,,,,,0,0.0,0.0,,
2025-08-13,2026-02-16,New Leads Ad - Copy 3,archived,"7-day click, 1-day view, or 1-day engaged-view",,,3,1.0,,31,Daily,0.64,Ongoing,-,-,-,3,213.333333,,,,,0,0.0,0.0,,
