Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),yt_handle
6tdedAcpXC0,"Watch This To Become Valuable In Your Data Career | Vin Vashishta, Data Strategist",30-Jan-23,3112.0,21,2.9439,1,0.003,142,6.34,@yt_1_30_2023
gk6A0VUfPpU,Why 99% Self-Taught Data Analysts Never Get Hired,2-Feb-26,437.0,3573,184.1618,44,14.32,47274,5.03,@yt_2_2_2026
9CwRk9UrY3M,How to Land Your First Tech Job in 2026,6-Feb-26,3532.0,574,51.9818,7,,10312,2.37,@yt_2_6_2026
i0W_dmYNrak,I Ranked Every Data Analyst Skill So You Don't Waste 6 Months,11-Feb-26,1518.0,3128,343.0687,39,14.579,45546,4.9,@yt_2_11_2026
wq2rVu73p0E,Meet Kedeisha - Your Data Career Coach,13-Mar-25,105.0,1344,24.0727,23,5.362,26820,3.89,@yt_3_13_2025
UHZwgrFki1E,How to Build the Perfect Data Analyst Portfolio Without Any Code,16-Mar-25,3468.0,1473,219.8129,35,4.354,8778,5.59,@yt_3_16_2025
qfwTMeXk3SE,3 Steps to Become a Data Analyst in 2025 | Free Training,17-Mar-25,3112.0,117,7.1328,3,,1950,2.82,@yt_3_17_2025
cZNY5hcASzU,Tech Recruiter Secrets: How to Get Hired in Data Analytics in 2025,25-Mar-25,3782.0,971,214.7671,8,2.168,7632,2.9,@yt_3_25_2025
5OzY1aFhBL0,"How to Communicate Your Data Insights...THE RIGHT WAY!  | Vin Vashishta, Data Strategist",27-Mar-23,90.0,2,0.0254,0,,30,6.67,@yt_3_27_2023
5WNTZCN21qY,Job Seekers Pay Attention: Title is not Everything,28-Mar-23,44.0,4,0.0295,0,,35,8.57,@yt_3_28_2023
Tzm45mQVmXI,"Build a Strong Data Career with this Advice | Robert Holmes III, Senior Data Analyst",31-Mar-23,3059.0,4,0.86,0,,33,0.0,@yt_3_31_2023
qWZJBs0Qq9w,Live Resume Roast with a Senior Tech Recruiter,1-Apr-25,5269.0,828,259.0773,7,1.935,4749,3.39,@yt_4_1_2025
4x4YI3chd6A,The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE],9-Apr-25,3427.0,17879,3532.1053,410,108.939,172397,4.11,@yt_4_9_2025
mK5IMlZXo08,Learn SQL FAST | SQL for Data Analysts Roadmap,21-Apr-25,296.0,2055,82.5931,39,4.604,21245,6.26,@yt_4_21_2025
OjLg6nFZ0pw,TOP 5 IT Skills To Get a $150k Job Fast In 2026,28-Apr-25,976.0,1642,155.8074,32,4.212,29189,3.25,@yt_4_28_2025
8ZyvYEClUAs,SQL Interview Whiteboard Question 1: Where are the Managers? Would you pass or fail?,3-May-25,53.0,3070,25.1717,13,0.021,37659,3.91,@yt_5_3_2025
4lLjpGuLPTc,Copy These 3 Data Analyst Projects (It Will Get You Hired),5-May-25,454.0,11328,503.9001,598,6.962,256710,2.84,@yt_5_5_2025
xZatHqSkd90,Wine Magazine Hard SQL Interview Question for Data Analysts and Data Scientists,10-May-23,443.0,29,0.8656,0,0.022,1249,1.44,@yt_5_10_2023
Xz39nkLAkgo,Live Data Analyst Project: Analyzing U.S. Imports,11-May-25,3865.0,1830,201.421,46,2.566,22636,4.04,@yt_5_11_2025
eOr9vWPEjyE,Why the Google Data Analytics Certificate Won't Get You Hired (And What Will),15-May-25,696.0,75219,4860.9514,3391,673.818,1387197,3.73,@yt_5_15_2025
S5M1iajbiow,State of the Data Analyst Job Market 2025: Top Job Seeker Mistakes,16-May-25,4836.0,433,87.4288,15,3.057,7603,2.5,@yt_5_16_2025
