Unique ID,Join Date,Last Source Date,First source,Last source
226015-151,2026-02-01 17:10:00,2026-02-01 16:46:00,@yt_10_2_2025,@yt_10_2_2025
155089-152,2026-02-01 17:06:00,-,-,-
127759-153,2026-02-01 17:01:00,2026-02-04 22:44:00,@yt_12_12_2025,@google_organic
559268-154,2026-02-01 17:01:00,2026-02-01 15:59:00,@all-combined-targetscreatives,@all-combined-targetscreatives
698503-155,2026-02-01 15:49:00,2026-02-01 15:44:00,@all-combined-targetscreatives,@all-combined-targetscreatives
585834-156,2026-02-01 14:28:00,2026-02-01 14:24:00,@all-combined-targetscreatives,@all-combined-targetscreatives
362938-157,2026-02-01 14:22:00,2026-02-01 13:52:00,@yt_6_30_2025,@yt_6_30_2025
811384-158,2026-02-01 10:57:00,2026-02-01 10:57:00,@linkedinbio,@linkedin_organic
154611-159,2026-02-01 10:57:00,-,-,-
739216-160,2026-02-01 10:55:00,2026-02-01 10:47:00,@yt_10_2_2025,@yt_10_2_2025
477956-161,2026-02-01 10:50:00,2026-02-01 10:20:00,@yt_10_2_2025,@yt_10_2_2025
565202-162,2026-02-01 10:29:00,2026-02-01 10:16:00,@all-combined-targetscreatives,@all-combined-targetscreatives
628033-163,2026-02-01 10:04:00,2026-02-01 10:14:00,@yt_1_12_2026,@yt_1_12_2026
424592-164,2026-02-01 09:44:00,-,-,-
706588-165,2026-02-01 07:15:00,2026-02-01 07:29:00,@all-combined-targetscreatives,@all-combined-targetscreatives
145217-166,2026-02-01 07:11:00,2026-02-01 07:03:00,@all-combined-targetscreatives,@all-combined-targetscreatives
168435-167,2026-02-01 03:46:00,2026-02-01 03:41:00,@all-combined-targetscreatives,@all-combined-targetscreatives
745915-168,2026-01-31 22:43:00,2026-01-31 09:03:00,@all-combined-targetscreatives,@all-combined-targetscreatives
139964-169,2026-01-31 21:43:00,2026-01-29 16:20:00,@all-combined-targetscreatives,@all-combined-targetscreatives
743818-170,2026-01-31 19:45:00,-,-,-
565120-171,2026-01-31 14:54:00,2026-01-31 14:49:00,@all-combined-targetscreatives,@all-combined-targetscreatives
826818-172,2026-01-31 14:23:00,-,-,-
978138-173,2026-01-31 13:09:00,-,-,-
718346-174,2026-01-31 12:58:00,-,-,-
378337-175,2026-01-31 12:50:00,2026-02-01 23:57:00,@all-combined-targetscreatives,@yt_1_26_2026
790459-176,2026-01-31 12:16:00,2026-01-31 12:17:00,@all-combined-targetscreatives,@all-combined-targetscreatives
831813-177,2026-01-31 11:22:00,2026-01-31 11:28:00,@all-combined-targetscreatives,@all-combined-targetscreatives
892166-178,2026-01-31 11:21:00,-,-,-
330748-179,2026-01-31 11:20:00,-,-,-
516524-180,2026-01-31 10:55:00,2026-01-31 10:46:00,@yt_6_30_2025,@yt_6_30_2025
584280-181,2026-01-31 10:33:00,-,-,-
929467-182,2026-01-31 10:09:00,2026-01-31 10:05:00,@all-combined-targetscreatives,@all-combined-targetscreatives
420617-183,2026-01-31 07:54:00,-,-,-
844745-184,2026-01-31 06:49:00,-,-,-
485528-185,2026-01-31 05:08:00,2026-01-31 04:58:00,@yt_10_2_2025,@yt_10_2_2025
298552-186,2026-01-31 04:59:00,2026-01-31 01:34:00,@yt_12_12_2025,@yt_12_12_2025
193372-187,2026-01-30 22:46:00,2026-01-30 22:47:00,@all-combined-targetscreatives,@all-combined-targetscreatives
722068-188,2026-01-30 19:39:00,2026-01-30 19:23:00,@all-combined-targetscreatives,@all-combined-targetscreatives
393765-189,2026-01-30 18:56:00,2026-01-30 18:46:00,@yt_10_2_2025,@yt_10_2_2025
287406-190,2026-01-30 18:55:00,2026-01-30 12:47:00,@linkedinbio,@linkedinbio
250326-191,2026-01-30 17:40:00,2026-02-03 12:10:00,@all-combined-targetscreatives,@linkedinbio
794737-192,2026-01-30 16:40:00,2026-02-03 09:50:00,@yt_1_26_2026,@brave_organic
958350-193,2026-01-30 15:34:00,-,-,-
877114-194,2026-01-30 15:34:00,-,-,-
990859-195,2026-01-30 15:22:00,2026-01-30 15:10:00,@all-combined-targetscreatives,@all-combined-targetscreatives
899864-196,2026-01-30 14:17:00,-,-,-
648958-197,2026-01-30 13:14:00,2026-01-29 10:51:00,@linkedinbio,@linkedinbio
282780-198,2026-01-30 11:31:00,2026-01-30 11:27:00,@kedeisha-test-ads,@kedeisha-test-ads
406012-199,2026-01-30 10:09:00,2026-01-24 12:18:00,@all-combined-targetscreatives,@all-combined-targetscreatives
703811-200,2026-01-30 09:04:00,-,-,-
660303-201,2026-01-30 03:22:00,2026-01-30 11:02:00,@yt_10_2_2025,@yt_10_2_2025
867987-202,2026-01-30 02:03:00,2026-01-30 02:00:00,@all-combined-targetscreatives,@all-combined-targetscreatives
627598-203,2026-01-30 01:28:00,2026-01-30 01:19:00,@all-combined-targetscreatives,@all-combined-targetscreatives
633819-204,2026-01-30 00:04:00,2026-01-30 00:00:00,@all-combined-targetscreatives,@all-combined-targetscreatives
440819-205,2026-01-29 23:12:00,2026-01-29 22:56:00,@all-combined-targetscreatives,@all-combined-targetscreatives
896862-206,2026-01-29 21:35:00,2026-01-30 18:16:00,@all-combined-targetscreatives,@all-combined-targetscreatives
321265-207,2026-01-29 20:18:00,2026-02-02 11:45:00,@linkedinbio,@yt_2_2_2026
352345-208,2026-01-29 19:27:00,2026-01-23 19:34:00,@all-combined-targetscreatives,@all-combined-targetscreatives
921084-209,2026-01-29 18:17:00,-,-,-
785251-210,2026-01-29 17:17:00,2026-01-29 17:18:00,@yt_12_12_2025,@linkedin_organic
130511-211,2026-01-29 17:09:00,-,-,-
836946-212,2026-01-29 16:08:00,-,-,-
721394-213,2026-01-29 14:42:00,2026-01-29 14:42:00,@all-combined-targetscreatives,@all-combined-targetscreatives
119882-214,2026-01-29 14:19:00,-,-,-
681410-215,2026-01-29 12:12:00,2026-01-29 12:02:00,@yt_12_12_2025,@yt_12_12_2025
503701-216,2026-01-29 11:06:00,2026-01-29 11:01:00,@yt_10_23_2025,@yt_10_23_2025
338117-217,2026-01-29 10:41:00,-,-,-
524991-218,2026-01-29 10:39:00,2026-02-05 06:57:00,@yt_1_2_2026,@yt_1_2_2026
847950-219,2026-01-29 10:00:00,2026-01-29 09:57:00,@all-combined-targetscreatives,@all-combined-targetscreatives
748094-220,2026-01-28 21:54:00,2026-01-28 21:40:00,@yt_10_2_2025,@yt_10_2_2025
966277-221,2026-01-28 20:43:00,2026-01-28 20:11:00,@yt_1_26_2026,@yt_1_26_2026
981170-222,2026-01-28 20:27:00,2026-01-29 22:37:00,@yt_bio,@yt_6_6_2025
182398-223,2026-01-28 19:44:00,2026-01-29 18:54:00,@yt_1_2_2026,@yt_1_2_2026
943697-224,2026-01-28 19:03:00,2026-01-28 18:59:00,@all-combined-targetscreatives,@all-combined-targetscreatives
254027-225,2026-01-28 19:03:00,-,-,-
613219-226,2026-01-28 19:02:00,2026-01-28 18:57:00,@all-combined-targetscreatives,@all-combined-targetscreatives
571027-227,2026-01-28 17:00:00,-,-,-
435206-228,2026-01-28 16:57:00,2026-01-28 16:52:00,@all-combined-targetscreatives,@all-combined-targetscreatives
822640-229,2026-01-28 16:20:00,2026-01-28 16:04:00,@yt_10_2_2025,@yt_1_2_2026
413798-230,2026-01-28 16:14:00,2026-01-28 16:10:00,@all-combined-targetscreatives,@all-combined-targetscreatives
638463-231,2026-01-28 16:01:00,2026-01-28 16:08:00,@yt_12_12_2025,@google_organic
